group,trial_id,condition,list,target_pronoun,target_id,target_image,target_name,target_file,target_x,distractor_pronoun,distractor_id,distractor_image,distractor_name,distractor_file,distractor_x,object_image,object_x,object_y2,object_y3,object_y4,sibling_image,top_left,bottom_left,top_right,bottom_right,correct_description
1,both_list1_practice1,both,1,he,14,masc2,alex,masc2_he_alex_nametag.png,35,they,12,masc1,dan,masc1_they_dan_nametag.png,65,sandwich.png,20,40,30,20,masc2_brother.png,masc2_brother.png,masc2_sister.png,masc1_brother.png,masc1_sister.png,Alex gave the sandwich to his brother
1,both_list1_practice2,both,1,she,8,fem3,jessica,fem3_she_jessica_nametag.png,65,he,14,masc2,alex,masc2_he_alex_nametag.png,35,popcorn.png,80,60,70,80,fem3_brother.png,masc2_sister.png,masc2_brother.png,fem3_sister.png,fem3_brother.png,Jesssica gave the popcorn to her brother
1,both_list1_practice3,both,1,they,12,masc1,dan,masc1_they_dan_nametag.png,35,she,8,fem3,jessica,fem3_she_jessica_nametag.png,65,hotdog.png,20,60,70,80,masc1_brother.png,masc1_sister.png,masc1_brother.png,fem3_sister.png,fem3_brother.png,Dan gave the hotdog to their brother
2,both_list2_practice1,both,2,he,10,masc1,sam,masc1_he_sam_nametag.png,35,they,15,masc2,brian,masc2_they_brian_nametag.png,65,sandwich.png,20,60,70,80,masc1_sister.png,masc1_brother.png,masc1_sister.png,masc2_brother.png,masc2_sister.png,Sam gave the sandwich to his sister
2,both_list2_practice2,both,2,she,2,fem1,jessica,fem1_she_jessica_nametag.png,65,he,10,masc1,sam,masc1_he_sam_nametag.png,35,popcorn.png,80,60,70,80,fem1_brother.png,masc1_brother.png,masc1_sister.png,fem1_sister.png,fem1_brother.png,Jessica gave the popcorn to her brother
2,both_list2_practice3,both,2,they,15,masc2,brian,masc2_they_brian_nametag.png,35,she,2,fem1,jessica,fem1_she_jessica_nametag.png,65,hotdog.png,20,40,30,20,masc2_sister.png,masc2_sister.png,masc2_brother.png,fem1_brother.png,fem1_sister.png,Brian gave the hotdog to their sister
3,both_list3_practice1,both,3,he,11,masc1,brian,masc1_he_brian_nametag.png,35,they,18,masc3,sam,masc3_they_sam_nametag.png,65,sandwich.png,20,40,30,20,masc1_sister.png,masc1_sister.png,masc1_brother.png,masc3_brother.png,masc3_sister.png,Brian gave the sandwich to his sister
3,both_list3_practice2,both,3,she,7,fem3,emily,fem3_she_emily_nametag.png,65,he,11,masc1,brian,masc1_he_brian_nametag.png,35,popcorn.png,80,40,30,20,fem3_brother.png,masc1_sister.png,masc1_brother.png,fem3_brother.png,fem3_sister.png,Emily gave the popcorn to her brother
3,both_list3_practice3,both,3,they,18,masc3,sam,masc3_they_sam_nametag.png,35,she,7,fem3,emily,fem3_she_emily_nametag.png,65,hotdog.png,20,60,70,80,masc3_sister.png,masc3_brother.png,masc3_sister.png,fem3_brother.png,fem3_sister.png,Sam gave the hotdog to their sister
4,both_list4_practice1,both,4,he,13,masc2,dan,masc2_he_dan_nametag.png,35,they,3,fem1,emily,fem1_they_emily_nametag.png,65,sandwich.png,20,60,70,80,masc2_sister.png,masc2_brother.png,masc2_sister.png,fem1_brother.png,fem1_sister.png,Dan gave the sandwich to his sister
